,Oil Climate Index Consolidated Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil Climate Index Webtool Base Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refer to oci.carnegiendowment.org/methodology,,,,Note that this workbook does not include data used to make upstream sliders.  See methodology to generate slider data using OPGEE v1.1d and notes regarding special cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtitle/Reference,Subtitle/Reference,Data Field Names,Units,Notes/Sources,List of oils,,,,,,,,,,,,,,,,,,,,,,,,Special Cases Start here --> ,,,,,
,,,Region,,,Sub-Saharan Africa,North America,Eurasia,Sub-Saharan Africa,Asia-Pacific,Europe,Asia-Pacific,Europe,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,North America,Middle East & North Africa,Latin America & Caribbean,North America,North America,North America,Sub-Saharan Africa,Middle East & North Africa,North America,Eurasia,North America,North America,Middle East & North Africa,Europe,Eurasia,North America,North America,North America,North America
,,,Unique,,,Nigeria Agbami,U.S. Alaska North Slope,Azerbaijan Azeri Light,Nigeria Bonny,China Bozhong,UK Brent,Indonesia Duri,Norway Ekofisk,Brazil Frade,Angola Girassol,Venezuela Hamaca,Canada Hibernia,Angola Kuito,Brazil Lula,U.S. Gulf Mars,Canada Midale,California Midway Sunset,Nigeria Obagi,Kuwait Ratawi,California South Belridge,Kazakhstan Tengiz,U.S. Gulf Thunder Horse,California Wilmington,Iraq Zubair,UK Forties,Russia Chayvo,Canada Cold Lake Dilbit,Canada Heavy Sour SCO,Canada Light Sweet SCO,Canada Medium Sweet SCO
,,,Country,,,Nigeria,U.S.,Azerbaijan,Nigeria,China,UK,Indonesia,Norway,Brazil,Angola,Venezuela,Canada,Angola,Brazil,U.S. Gulf,Canada,California,Nigeria,Kuwait,California,Kazakhstan,U.S. Gulf,California,Iraq,UK,Russia,Canada,Canada,Canada,Canada
,,,Oil Field Name (OPGEE),,,Agbami,Alaska North Slope,Azeri Light,Bonny,Bozhong,Brent,Duri,Ekofisk,Frade,Girassol,Hamaca,Hibernia,Kuito,Lula,Mars,Midale,Midway Sunset,Obagi,Ratawi,South Belridge,Tengiz,Thunder Horse,Wilmington,Zubair,Forties,Chayvo,Cold Lake Dilbit,Heavy Sour SCO,Light Sweet SCO,Medium Sweet SCO
,,,Assay Name (PRELIM),,Sources for Assays included here, Nigeria Agbami_Chevron , Alaskan North Slope_Exxon , Azeri Light_Chevron , Bonny Light_Chevron , China Bozhong_Chevron , Brent_Chevron , Indonesia Duri , Ekofisk_BP , Brazil Frade_Chevron , Angola Girassol_Exxon , Hamaca Venezuela_Knovel , Canada Hibernia_Exxon , Angola Kuito_Chevron , Brazil Lula_BG Group , Mars USA-Gulf of Mexico_BP , Midale_Crude Monitor , Midway- Sunset_Knovel , Bonny Light_Chevron , Kuwait Ratawi_Chevron , Belridge_Knovel , Tengiz_Chevron , Thunderhorse_Exxon , Wilmington CA_Knovel , Iraq Basra_BP , Forties Blend_BP  , Russia Sokol_Exxon , Cold Lake_Crude Monitor , Suncor Synthetic H_Crude Monitor , Suncor Synthetic A_Crude Monitor , Syncrude Synthetic_Crude Monitor 
,,,Oil Type,,,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Conventional,Oil Sands,Oil Sands,Oil Sands,Oil Sands
,,,API,,,47.0,28.3,35.0,35.3,17.5,39.0,19.0,38.4,19.0,32.0,8.6,34.6,21.0,28.0,28.8,28.7,22.6,35.3,24.2,15.0,46.4,34.5,19.5,30.2,35.0,36.4,10.2,8.0,8.0,8.0
,,,Sulfur %wt,,,0.01%,0.32%,0.02%,0.03%,0.21%,0.04%,0.17%,0.03%,0.58%,0.14%,0.26%,0.16%,0.21%,0.20%,0.63%,1.05%,0.86%,0.03%,0.93%,0.12%,0.42%,0.27%,0.00%,1.13%,0.39%,0.05%,2.81%,2.65%,0.03%,0.11%
,,,API Crude Category,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Ultra-Light,Medium,Light,Light,Heavy,Light,Heavy,Light,Heavy,Light,Extra-Heavy,Light,Heavy,Medium,Medium,Medium,Heavy,Light,Medium,Heavy,Ultra-Light,Light,Heavy,Medium,Light,Light,Extra-Heavy,Extra-Heavy,Extra-Heavy,Extra-Heavy
,,,Sulfur Category,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sour,Sweet,Sweet,Sweet,Sweet,Sweet,Sour,Sour,Sour,Sweet,Sour,Sweet,Sweet,Sweet,Sweet,Sour,Sweet,Sweet,Sour,Sour,Sour,Sour
,,,Production Volume,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Medium,High,High,Very Low,Medium,Very Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High
,,,Onshore/Offshore,,,Offshore,Onshore,Offshore,Onshore,Offshore,Offshore,Onshore,Offshore,Offshore,Onshore,Onshore,Offshore,Offshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore,Onshore,Onshore,Offshore,Onshore,Onshore,Offshore,Offshore,Onshore,Onshore,Onshore,Onshore
,,,Shallow; Deep; Ultra-Deep,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Ultra-Deep,Deep,Deep,Ultra-Deep,Deep,Deep,Shallow,Deep,Shallow,Shallow,Shallow,Deep,Deep,Ultra-Deep,Ultra-Deep,Shallow,Shallow,Shallow,Shallow,Shallow,Ultra-Deep,Ultra-Deep,Shallow,Ultra-Deep,Deep,Ultra-Deep,Shallow,Shallow,Shallow,Shallow
,,,Flaring Class,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Low Flare,Low Flare,Minimal Flare,High Flare,High Flare,High Flare,Minimal Flare,Minimal Flare,Minimal Flare,High Flare,Low Flare,Low Flare,Low Flare,Minimal Flare,Minimal Flare,Low Flare,Minimal Flare,High Flare,Low Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare,High Flare,Minimal Flare,High Flare,Minimal Flare,Minimal Flare,Minimal Flare,Minimal Flare
,,,Watery Oil,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Low Water,Watery Oil,Watery Oil,Low Water,Low Water,Watery Oil,Low Water,Low Water,Watery Oil,Low Water,Watery Oil,Low Water,Low Water,Low Water,Low Water,Low Water
,,,Gassy Oil,,The bounds for these classifications can be changed on the 'Classification Bounds' sheet,Medium Gas,High Gas,Medium Gas,High Gas,Medium Gas,High Gas,Very Low Gas,Medium Gas,Medium Gas,Low Gas,Low Gas,Low Gas,Low Gas,Medium Gas,Medium Gas,Medium Gas,Low Gas,High Gas,Low Gas,Low Gas,Low Gas,Low Gas,Low Gas,Low Gas,Low Gas,Medium Gas,Low Gas,Very Low Gas,Very Low Gas,Very Low Gas
,,,EOR,,,EOR,EOR,,,,,EOR,,,,,,,,EOR,,EOR,,EOR,EOR,,EOR,EOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Overall Crude Emissions Category,,, Light , High Gas ,Light, High Flare , High Flare , Depleted/Watery Oil , High Steam , Light , Heavy , Conventional , Extra-Heavy ,Conventional,Heavy, Ultra-Deep , Ultra-Deep , Depleted/Watery Oil , High Steam , High Flare , Conventional , Depleted/Watery Oil , Light , Ultra-Deep , Depleted/Watery Oil , Conventional , Depleted/Watery Oil , Ultra-Deep , Extra-Heavy , Extra-Heavy , Extra-Heavy , Extra-Heavy 
,,,Crude Exporter,,,Crude Net Exporter,Crude Net Importer,Crude Net Exporter,Crude Net Exporter,Crude Net Importer,Crude Net Importer,Crude Net Importer,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude net Exporter,Crude Net Importer,Crude Net Exporter,Crude Net Importer,Crude Net Exporter,Crude Net Exporter,Crude Net Importer,Crude Net Exporter,Crude net Importer,Crude Net Importer,Crude Net Exporter,Crude Net Importer,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter,Crude Net Exporter
,,,Location Description,,These locations were estimates,"Off coast of Nigeria, 220 miles SouthEast of Lagos",Northern Alaska,Caspian Sea,"West of Akabuka, North-West of Port Harcourt","Bohai Bay, off the coast from Tianjin",North Sea West of Bergen,"Near Duri town, Central sumatra",Norwegian Sector of North Sea,"Northeasteast of Rio, http://www.chevron.com/articledocuments/latest/news_203789/1457697f-c289-4781-abce-5b3792c645e1/FradeFieldFactSheet.pdf.cvxn",Approximate Coordinates,Coords approximate,"ESE of St. Johns, Newfoundland","West of Cabinda, North Angola","Santos basin, 250km from Rio de Janeiro",Mississipi canyon in US Gulf ,Southern Saskatchewan (check coordinates),California ,"West of Akabuka, North-West of Port Harcourt","Partitioned zone between Kuwait and Saudi Arabia, Ratawi produced from Wafra, South Umm Gudair and South Fuwaris fields, coords link to Wafra field",California,low-lying wetlands along the northeast shores of the Caspian Sea.,Gulf Coast,South Los Angeles,West of Basrah,East of Aberdeen,"East Coast, Sakhalin-1 Project",Cold Lake Oil Sands,Athabasca,Athabasca,Athabasca
,,,Latitude,,,3.44,70.31,40.17,5.24,38.33,60.90,1.26,56.55,-21.56,-7.89,8.00,46.75,-5.46,-25.50,28.17,49.38,35.25,5.24,28.62,35.47,46.15,28.11,33.76,30.35,57.72,52.12,54.43,56.72,56.72,56.72
,,,Longitude,,,5.67,-148.73,51.33,6.63,119.43,1.80,101.13,3.21,-39.33,12.14,-65.00,-48.78,11.68,-43.50,-89.22,-103.34,-119.60,6.63,47.90,-119.74,53.38,-88.49,-118.23,47.60,1.02,143.76,-110.22,-111.24,-111.24,-111.24
,,,Total Emissions,,,471.4,556.1,485.3,651.3,812.1,558.7,732.1,466.2,576.6,519.0,742.2,492.2,515.0,539.2,505.0,523.0,739.0,719.7,494.4,685.1,456.3,486.8,608.6,540.0,502.4,529.1,637.8,825.2,733.2,767.0
,,Oil Sands Inputs Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,Canada,Canada,Canada
,,,Oil Field Name,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Lake,Heavy Sour SCO,Light Sweet SCO,Medium Sweet SCO
,,,,,"Oil sands can not be put into the Bulk Assessment of OPGEE.   Instead these values have to be entered manually.  The respective cells for these numbers are listed below.  Unless otherwise stated, the values should be pasted into the 'Bitumen Extraction and Upgrading' Sheet of OPGEE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crude API Gravity,deg. API,M31,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,8,8,8
,,,SCO API Gravity,deg. API,M36,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,32.8,32.2
,,,Diluent API Gravity,deg. API,M41,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,,,
,,,Oil production rate,bbl/d,User Inputs and Results'!J70,,,,,,,,,,,,,,,,,,,,,,,,,,,154100,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hydrocarbon upgraded?,Y/N,M52,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
,,,Hydrocarbon diluted?,Y/N,M53,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mining integrated,Y/N,M57,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
,,,Mining non-integrated,Y/N,M58,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,In situ - Primary,Y/N,M59,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,In situ - SAGD,Y/N,M60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,In situ - CSS,Y/N,M61,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SOR - SAGD,bbl water/bbl bitumen,M64,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,SOR - CSS,bbl water/bbl bitumen,M65,,,,,,,,,,,,,,,,,,,,,,,,,,,3.421,,,
,,,Volume diluent blended,bbl diluent/bbl dilbit,M69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gas composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N2,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CO2,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C1,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C2,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C3,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C4+,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,H2S,mol%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuel intensity primary bitumen extraction,,,Table 4.2 - Energy Demand for primary bitumen extraction - CSS Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diesel,MMBtu/bbl,E198,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,Natural gas,MMBtu/bbl,E199,,,,,,,,,,,,,,,,,,,,,,,,,,,1.355,,,
,,,Electricity,MMBtu/bbl,E200,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,
,,,Coke,MMBtu/bbl,E201,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,Still gas,MMBtu/bbl,E202,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuel intensity for upgrading,,,Table 4.4 - Energy Demand for Upgrading - Integrated mining & upgrading Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diesel,MMBtu/bbl,D224,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160,0.160,0.103
,,,Natural gas,MMBtu/bbl,D225,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560,0.560,0.821
,,,Electricity,MMBtu/bbl,D226,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,-0.027,-0.002
,,,Coke,MMBtu/bbl,D227,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,0.205,0.175
,,,Still gas,MMBtu/bbl,D228,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,0.462,0.775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Flaring-to-oil ratio,,scf/bbl,User Inputs and Results'!B107,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,Venting-to-oil ratio,,scf/bbl,User Inputs and Results'!B108,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Crude ecosystem carbon richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Low carbon richness (semi-arid grasslands),Y/N,M99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Moderate carbon richness (mixed),Y/N,M100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,,,High carbon richness (forested),Y/N,M101,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,Field development intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Low intensity development and low oxidation,Y/N,M104,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Moderate intensity development and moderate oxidation,Y/N,M105,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,High intensity development and high oxidation,Y/N,M106,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fraction of oil transported by each mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ocean tanker,[-],User Inputs & Results! J125,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Barge,[-],User Inputs & Results! J126,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Pipeline,[-],User Inputs & Results! J127,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,,,Rail,[-],User Inputs & Results! J128,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,Transport distance (one way),,,User Inputs & Results! J129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ocean tanker,Mile,User Inputs & Results! J130,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Barge,Mile,User Inputs & Results! J131,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,Pipeline,Mile,User Inputs & Results! J132,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500
,,,Rail,Mile,User Inputs & Results! J133,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,,"Ocean tanker size, if applicable",Ton,User Inputs & Results! J134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BITUMEN OUTPUTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.1   Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.1.1   Total energy consumption,,,INTENTIONALLY LEFT BLANK FOR ALL CONVENTIONAL OILS,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000
,,,6.1.2   Total GHG emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
,,,6.1.2.1   Combustion/land use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
,,,6.1.2.2   VFF ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.2   Drilling & Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.2.1   Total energy consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000
,,,6.2.2   Total GHG emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,2.87,2.87,2.87
,,,6.2.2.1   Combustion/land use ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,2.87,2.87,2.87
